recipe_id,name,method,dish_type,kcal,protein_g,fat_g,carb_g,sodium_mg,cooking_steps
137,된장 두부찌개,끓이기,국&찌개,77.3,7.5,4.2,2.4,124.6,"1. 두부에 쌀뜨물을 넣고 갈아준다.
2. 돼지고기는 썰고 김치는 물에 씻어 양념을 제거하고 3×3cm로 썬다.
3. 냄비에 돼지고기와 김치를 함께 볶은 후, 망에 거른 된장과 1의 두부, 고춧가루, 청양고추, 홍고추를 넣어 끓이다가 대파를 넣어 완성한다."
271,닭고기김치찌개,끓이기,국&찌개,277.1,5.87,2.73,1.79,776.6,"1. 육수 재료를 넣고 중간 불로 끓인 뒤
체에 걸러 육수를 만든다.
2. 닭가슴살은 채 썬 뒤 물에 넣고
삶는다.
3. 애호박은 반달 썰고, 미나리는 5㎝
길이로 썰고, 청양고추는 잘게 썬 뒤
찬물에 담가 씨를 빼고, 두부는 한입
크기로 썰어 물에 담가둔다.
4. 김치를 한입 크기로 썬 뒤 참기름에
볶다가 육수를 붓는다.
5. 두부, 애호박, 느타리버섯, 미나리,
닭가슴살을 넣어 끓어오르면
달걀물과 청양고추를 넣고 조금
더 끓여 마무리한다."
280,들깨순두부찌개,끓이기,국&찌개,171.7,2.8,1.36,2.92,111.6,"1. 굴은 깨끗이 씻은 뒤 김 오른 찜기에
찐다.
2. 굴을 쪄낸 물(250g)에 멸치,
표고버섯 밑동을 넣고 끓인 뒤
멸치와 표고버섯 밑동을 건져내
육수를 만든다.
3. 느타리버섯은 밑동을 제거한 후
씻어 세로로 찢고, 표고버섯은
0.5㎝ 두께로 썬다.
4. 무는 나박 썰고 양파는 채 썰고,
미나리는 3㎝ 길이로 썰고,
대파와 고추는 송송 썬다.
5. 육수에 굴, 다진 마늘, 무, 양파,
버섯을 넣고 끓인다.
6. 들깻가루와 순두부를 넣고 한소끔
끓인 뒤 국간장과 소금으로 간을
맞추고 대파, 붉은 고추, 미나리를
올려 마무리한다."
673,찬밥이용닭죽,끓이기,밥,234.5,20.2,3.3,29.8,327.6,"1. 닭다리는 기름기를 제거하고 냄비에 물 3컵 반을 부어 통마늘과 삶아 육수를 만든다.
2. 삶은 마늘을 체에 걸러 으깬 뒤 다시 육수에 넣는다.
3. 닭 육수 2컵 반에 찬밥을 넣고 밥알이 무르도록 끓인다.
4. 삶은 닭다리 살을 발라 잘게 찢어 넣는다.
5. 감자, 양파, 당근, 부추는 잘게 다진다.
6. 4에 5를 넣고 끓인 뒤 소금, 후춧가루로 간 한다."
329,채소비빔밥,끓이기,밥,303.9,10.4,10.8,41.2,189.2,"1. 바지락은 해감을 시켜준 후 물에 넣어 바지락
육수를 만들어준다.
2. 바지락살은 따로 떼어내어 다진소고기와
다시 다져서 양념해 볶아준다.
3. 두부는 물기제거를 한 후 함초, 깻잎, 다진양파,
를 넣어 치대어 두부볶음을 만들어준다.
4. 애호박은 채 썰어주고 양파, 오이, 당근, 표고도
채 썰어 각각 볶아준다.
5. 볶은 바지락과 쌀을 넣어 밥을 한다.
6. 몰드에 밥과 각종 채소들을 올려주고 마지막에
두부 스크램블을 올려 밥을 완성한다."
250,단호박제육볶음,볶기,반찬,268.6,13.4,7.89,10.5,444.3,"1. 돼지고기는 핏물을 제거하고
된장육수에 살짝 데친다.
2. 데친 돼지고기에 양념장을 넣고
재운다.
3. 단호박은 도톰하게 썰고, 죽순,
양파는 채 썰고, 대파는 어슷 썰고,
마른 표고버섯은 불린 뒤 먹기
좋은 크기로 썬다.
4. 팬에 올리브유를 두르고 재운
돼지고기와 된장육수(50g)를 넣고
볶는다.
5. 반 정도 익었을 때 단호박과 죽순,
양파, 대파, 표고버섯, 다진 마늘을
넣고 볶는다.
6. 부순 참깨와 참기름을 넣어
마무리한다."
231,두부달걀덮밥,끓이기,밥,669.4,3.91,6.2,19.35,311.6,"1. 찬물에 다시마를 넣고 끓여 건져
내고 불을 끈 후 가다랑어포를
넣어 우려 육수를 만든다.
2. 두부, 가지는 깍둑 썰고, 표고버섯,
양파는 채 썰고, 달걀은 곱게 푼다.
3. 두부, 가지는 물기를 제거한 뒤
후춧가루로 밑간하고 녹말가루를
얇게 입혀 식용유를 두른 팬에서
구워 건진다.
4. 육수(1컵)에 청주, 설탕, 간장을 넣고
표고버섯, 양파를 넣고 조려 덮밥
소스를 만든다.
5. 달걀물을 붓고 익을 때까지 저은 후
녹말물을 넣어 되직하게 끓인다.
6. 밥을 그릇에 담고 덮밥소스를
곁들인 후 두부, 가지, 가다랑어포를
얹어 마무리한다."
2978,곤약 감자조림,기타,반찬,37.8,0.64,0.01,8.78,305.0,"1. 곤약과 감자는 2cm ? 2cm 크기로 썰고 풋고추와 홍고추는 송송 썰어 씨를 제거한다.
2. 물(200g)에 다시마를 넣고 끓여 육수를 만든 뒤 다시마를 건진다.
3. 육수에 간장, 설탕, 미림을 섞어 조림장을 만든다.
4. 곤약과 감자를 끓는 물에 넣고 80% 정도 익힌 뒤 건져 식힌다.
5. 4에 조림장 50g을 넣고 살짝 졸인다.
6. 불을 끄고 참기름을 섞는다."
943,영양 달걀찜,찌기,반찬,76.0,5.8,3.0,7.1,87.0,"1. 죽순은 빗살을 살려 썰고 밤은 껍질을 벗겨 4등분한다.
2. 찐 어묵은 얇게 썰고 표고버섯은 미지근한 물에 불려 어슷하게 4등분 한다.
3. 볼에 달걀 풀고 달걀 부피의 2.5배의 멸치 육수를 넣고 소금으로 간을 한 뒤 거품기로 잘 풀어 체에 내린다.
4. 끓는 물에 은행, 죽순, 밤, 새우 순으로 데친다.
5. 데쳐 낸 은행은 껍질을 벗기고 새우는 머리와 껍질을 제거한다.
6. 찜 용기에 준비한 속 재료들을 담고 준비한 달걀 물을 부어 찜통에서 약 12분간 찐다."
1047,팽이버섯 야채볶음,볶기,반찬,83.0,2.6,4.4,10.9,14.0,"1. 팽이버섯은 밑동을 제거하고 4cm 길이로 자른다.
2. 청경채는 겉잎을 떼어낸 뒤 반으로 가른 뒤 팽이버섯과 같은 길이로 자른다.
3. 썰어 놓은 팽이버섯과 청경채를 끓는 물에 데친다.
4. 기름을 두른 팬에 팽이버섯과 청경채를 볶는다.
5. 물 전분을 넣어 농도를 맞춘다.
6. 참기름을 뿌려 완성한다."
